glyph,en_tts,zh_tts,en_keywords,zh_keywords,source
´,acute accent,重音符号,accent | acute | tone,尖锐 | 语调 | 重音符号,CLDR release-46 annotations
µ,micro sign,微符号,measure | micro | sign,度量 | 微符号,CLDR release-46 annotations
¶,paragraph mark,段落标记,alinea | mark | paragraph | paraph | pilcrow,段落 | 段落标记 | 段落符号,CLDR release-46 annotations
·,middle dot,间隔号,dot | interpunct | middle | middot,中点 | 中间 | 点 | 间隔号,CLDR release-46 annotations
¹,superscript one,上标1,one | superscript,1 | 上标 | 上标1,CLDR release-46 annotations
»,right guillemet,右燕尾号,angle | brackets | carets | chevron | guillemet | quote | right,右 | 右燕尾号 | 尾巴 | 引用 | 方框 | 燕子 | 角,CLDR release-46 annotations
¿,inverted question mark,倒置的问号,inverted | mark | question,倒置 | 倒置的问号 | 疑问 | 问号,CLDR release-46 annotations
×,multiplication sign,乘号,multiplication | multiply | sign | times,乘以 | 乘号 | 乘法 | 乘积 | 倍数,CLDR release-46 annotations
÷,division sign,除号,divide | division | obelus | sign,商数 | 除以 | 除号 | 除商 | 除法,CLDR release-46 annotations
،,arabic comma,阿拉伯文逗号,arabic | comma,逗号 | 阿拉伯 | 阿拉伯文逗号,CLDR release-46 annotations
؛,arabic semicolon,阿拉伯文分号,arabic | semi-colon | semicolon,分号 | 阿拉伯 | 阿拉伯文分号,CLDR release-46 annotations
؟,arabic question mark,阿拉伯文问号,arabic | mark | question,疑问 | 问号 | 阿拉伯 | 阿拉伯文问号,CLDR release-46 annotations
‐,hyphen,连字符,dash | hyphen,横线 | 连字符,CLDR release-46 annotations
–,en dash,连接号,dash | en,横线 | 短划线 | 连接号,CLDR release-46 annotations
—,em dash,破折号,dash | em,横线 | 破折号 | 长划线,CLDR release-46 annotations
―,horizontal bar,横条,bar | dash | horizontal | line,条形 | 横条 | 横线 | 线条,CLDR release-46 annotations
‘,left apostrophe,左撇号,apostrophe | left | quote | single | smart,单引号 | 左撇号 | 引号 | 撇号 | 花引号,CLDR release-46 annotations
’,right apostrophe,右撇号,apostrophe | quote | right | single | smart,单引号 | 右撇号 | 引号 | 撇号 | 花引号,CLDR release-46 annotations
‚,low right apostrophe,低右撇号,apostrophe | low | quote | right,低右撇号 | 低引号 | 引号 | 撇号,CLDR release-46 annotations
“,left quotation mark,左双引号,double | left | mark | quotation | quote | smart,双引号 | 左双引号 | 引号 | 引用 | 花引用,CLDR release-46 annotations
”,right quotation mark,右双引号,double | mark | quotation | quote | right | smart,双引号 | 右双引号 | 引号 | 引用 | 花引号,CLDR release-46 annotations
„,low right quotation mark,低右双引号,double | low | mark | quotation | quote | right | smart,低右双引号 | 低引号 | 双引号 | 引号 | 引用 | 花引号,CLDR release-46 annotations
†,dagger sign,剑号,dagger | obelisk | obelus | sign,剑 | 剑号 | 十字架,CLDR release-46 annotations
‡,double dagger sign,双剑号,dagger | double | obelisk | obelus | sign,剑 | 剑号 | 双 | 双剑号,CLDR release-46 annotations
•,bullet,项目符号,bullet | dot,圆点 | 项目符号,CLDR release-46 annotations
…,ellipsis,省略号,dots | ellipsis | omission,多个圆点 | 省略 | 省略号,CLDR release-46 annotations
‧,hyphenation point,连字符点,dash | hyphen | hyphenation | point,点 | 破折号 | 连字符 | 连字符点,CLDR release-46 annotations
‰,per mille,千分号,mil | mille | per | permil | permille,千分号 | 千分比,CLDR release-46 annotations
′,prime,角分符号,prime,角分符号,CLDR release-46 annotations
″,double prime,角秒符号,double | prime,角秒符号,CLDR release-46 annotations
‴,triple prime,三撇,prime | triple,三撇,CLDR release-46 annotations
‸,caret,脱字符,caret,脱字符,CLDR release-46 annotations
※,reference mark,参考标记,mark | reference,参考标记,CLDR release-46 annotations
‼,double exclamation mark,双感叹号,! | !! | bangbang | double | exclamation | mark | punctuation,！ | ！！ | 两个 | 双叹号 | 双感叹号 | 叹号 | 吃惊 | 标点符号,CLDR release-46 annotations
‽,interrobang,疑问惊叹号,interabang | interrobang,疑问惊叹号,CLDR release-46 annotations
‾,overline,上划线,overline | overstrike | vinculum,上划线,CLDR release-46 annotations
⁂,asterism,星群,asterism | dinkus | stars,星群,CLDR release-46 annotations
⁄,fraction slash,分数斜线,fraction | slash | stroke | virgule,分数斜线,CLDR release-46 annotations
⁉,exclamation question mark,感叹疑问号,! | !? | ? | exclamation | interrobang | mark | punctuation | question,！ | ！？ | ？ | 叹号 | 叹号加问号 | 吃惊 | 感叹疑问号 | 标点符号 | 疑问惊叹号 | 问号,CLDR release-46 annotations
⁻,superscript minus,上标减号,minus | superscript,上标 | 减号,CLDR release-46 annotations
₢,cruzeiro,克鲁赛罗,BRB | cruzeiro | currency,克鲁赛罗,CLDR release-46 annotations
₣,french franc,法国法郎,currency | franc | french,法国法郎,CLDR release-46 annotations
₤,lira,里拉,currency | lira,里拉,CLDR release-46 annotations
₥,mill,密尔,mil | mill,密尔,CLDR release-46 annotations
₨,rupee,卢比,currency | rupee,卢比,CLDR release-46 annotations
₩,won,韩元,KPW | KRW | won,朝鲜元 | 韩元,CLDR release-46 annotations
€,euro,欧元符号,currency | EUR | euro,欧元 | 欧元区 | 欧元符号 | 欧洲 | 货币,CLDR release-46 annotations
₰,german penny,德国便士,currency | german | penny | pfennig,德国便士,CLDR release-46 annotations
₱,peso,比索,peso,比索,CLDR release-46 annotations
₳,austral,奥斯特拉尔,ARA | austral | currency,奥斯特拉尔,CLDR release-46 annotations
₶,livre tournois,里弗尔,currency | livre | tournois,里弗尔,CLDR release-46 annotations
₷,spesmilo,斯佩斯米洛,currency | spesmilo,斯佩斯米洛,CLDR release-46 annotations
₹,indian rupee,印度卢比符号,currency | indian | rupee,卢比 | 印度卢比 | 印度卢比符号 | 货币,CLDR release-46 annotations
₽,ruble,卢布符号,currency | ruble,俄罗斯 | 俄罗斯卢布 | 卢布 | 卢布符号 | 货币,CLDR release-46 annotations
₿,bitcoin,比特币,bitcoin | BTC,BTC | 比特币,CLDR release-46 annotations
℗,sound recording copyright,录音版权,copyright | recording | sound,录音 | 录音版权 | 版权 | 音频,CLDR release-46 annotations
™,trade mark,商标,mark | TM | trade | trademark,产品 | 商标 | 标志,CLDR release-46 annotations
ℹ,information,信息,I | information,信息 | 信息中心 | 查询 | 资料,CLDR release-46 annotations
←,left-pointing arrow,向左的箭头,arrow | left | left-pointing,向左的箭头 | 左 | 箭头,CLDR release-46 annotations
↑,up-pointing arrow,向上的箭头,arrow | up | up-pointing,上 | 向上的箭头 | 箭头,CLDR release-46 annotations
→,right-pointing arrow,向右的箭头,arrow | right | right-pointing,右 | 向右的箭头 | 箭头,CLDR release-46 annotations
↓,down-pointing arrow,向下的箭头,arrow | down | down-pointing,下 | 向下的箭头 | 箭头,CLDR release-46 annotations
↔,left-right arrow,左右箭头,arrow | left-right,左右 | 左右箭头 | 箭头,CLDR release-46 annotations
↕,up-down arrow,上下箭头,arrow | up-down,上下 | 上下箭头 | 箭头,CLDR release-46 annotations
↖,up-left arrow,左上箭头,arrow | direction | intercardinal | northwest | up-left,左上 | 左上箭头 | 方向 | 标识 | 箭头 | 西北,CLDR release-46 annotations
↗,up-right arrow,右上箭头,arrow | direction | intercardinal | northeast | up-right,东北 | 右上 | 右上箭头 | 方位 | 方向 | 标识 | 箭头,CLDR release-46 annotations
↘,down-right arrow,右下箭头,arrow | direction | down-right | intercardinal | southeast,东南 | 右下 | 右下箭头 | 方位 | 方向 | 标识 | 箭头,CLDR release-46 annotations
↙,down-left arrow,左下箭头,arrow | direction | down-left | intercardinal | southwest,左下 | 左下箭头 | 方向 | 标识 | 箭头 | 西南,CLDR release-46 annotations
↚,leftwards arrow stroke,带删除线的向左箭头,arrow | leftwards | stroke,带删除线的向左箭头,CLDR release-46 annotations
↛,rightwards arrow stroke,带删除线的向右箭头,arrow | rightwards | stroke,带删除线的向右箭头,CLDR release-46 annotations
↜,leftwards wave arrow,向左波浪箭头,arrow | leftwards | wave,向左波浪箭头,CLDR release-46 annotations
↝,rightwards wave arrow,向右波浪箭头,arrow | rightwards | wave,向右波浪箭头,CLDR release-46 annotations
↞,leftwards two headed arrow,向左双头箭头,arrow | headed | leftwards | two,向左双头箭头,CLDR release-46 annotations
↟,upwards two headed arrow,向上双头箭头,arrow | headed | two | upwards,向上双头箭头,CLDR release-46 annotations
↠,rightwards two headed arrow,向右双头箭头,arrow | headed | rightwards | two,向右双头箭头,CLDR release-46 annotations
↡,downwards two headed arrow,向下双头箭头,arrow | downwards | headed | two,向下双头箭头,CLDR release-46 annotations
↢,leftwards arrow tail,带尾的向左箭头,arrow | leftwards | tail,带尾的向左箭头,CLDR release-46 annotations
↣,rightwards arrow tail,带尾的向右箭头,arrow | rightwards | tail,带尾的向右箭头,CLDR release-46 annotations
↤,leftwards arrow from bar,尾部带杠的向左箭头,arrow | bar | from | leftwards,尾部带杠的向左箭头,CLDR release-46 annotations
↥,upwards arrow from bar,尾部带杠的向上箭头,arrow | bar | from | upwards,尾部带杠的向上箭头,CLDR release-46 annotations
↦,rightwards arrow from bar,尾部带杠的向右箭头,arrow | bar | from | rightwards,尾部带杠的向右箭头,CLDR release-46 annotations
↧,downwards arrow from bar,尾部带杠的向下箭头,arrow | bar | downwards | from,尾部带杠的向下箭头,CLDR release-46 annotations
↨,up down arrow with base,带底边的上下箭头,arrow | base | down | up | with,带底边的上下箭头,CLDR release-46 annotations
↩,right arrow curving left,右转弯箭头,arrow | curving | left | right,右转弯 | 右转弯箭头 | 向左弯曲的右箭头 | 箭头,CLDR release-46 annotations
↪,left arrow curving right,左转弯箭头,arrow | curving | left | right,向右弯曲的左箭头 | 左转弯 | 左转弯箭头 | 箭头,CLDR release-46 annotations
↫,leftwards arrow loop,尾部带环的向左箭头,arrow | leftwards | loop,尾部带环的向左箭头,CLDR release-46 annotations
↬,rightwards arrow loop,尾部带环的向右箭头,arrow | loop | rightwards,尾部带环的向右箭头,CLDR release-46 annotations
↭,left right wave arrow,左右波浪箭头,arrow | left | right | wave,左右波浪箭头,CLDR release-46 annotations
↮,left right arrow stroke,带删除线的左右箭头,arrow | left | right | stroke,带删除线的左右箭头,CLDR release-46 annotations
↯,downwards zigzag arrow,向下锯齿形箭头,arrow | downwards | zigzag,向下锯齿形箭头,CLDR release-46 annotations
↰,upwards arrow tip leftwards,头朝左的向上箭头,arrow | leftwards | tip | upwards,头朝左的向上箭头,CLDR release-46 annotations
↱,upwards arrow tip rightwards,头朝右的向上箭头,arrow | rightwards | tip | upwards,头朝右的向上箭头,CLDR release-46 annotations
↲,downwards arrow tip leftwards,头朝左的向下箭头,arrow | downwards | leftwards | tip,头朝左的向下箭头,CLDR release-46 annotations
↳,downwards arrow tip rightwards,头朝右的向下箭头,arrow | downwards | rightwards | tip,头朝右的向下箭头,CLDR release-46 annotations
↴,rightwards arrow corner downwards,下拐的向右箭头,arrow | corner | downwards | rightwards,下拐的向右箭头,CLDR release-46 annotations
↵,downwards arrow corner leftwards,左拐的向下箭头,arrow | corner | downwards | leftwards,左拐的向下箭头,CLDR release-46 annotations
↶,anticlockwise top semicircle arrow,逆时针上半圆箭头,anticlockwise | arrow | semicircle | top,逆时针上半圆箭头,CLDR release-46 annotations
↷,clockwise top semicircle arrow,顺时针上半圆箭头,arrow | clockwise | semicircle | top,顺时针上半圆箭头,CLDR release-46 annotations
↸,north west arrow long bar,指向长杠的西北箭头,arrow | bar | long | north | west,指向长杠的西北箭头,CLDR release-46 annotations
↹,leftwards over rightwards arrow bars,上面是头带杠的向左箭头，下面是头带杠的向右箭头,arrow | bar | bars | leftwards | over | rightwards,上面是头带杠的向左箭头，下面是头带杠的向右箭头,CLDR release-46 annotations
↺,anticlockwise open circle arrow,逆时针开口圆箭头,anticlockwise | arrow | circle | open,逆时针开口圆箭头,CLDR release-46 annotations
↻,clockwise open circle arrow,顺时针开口圆箭头,arrow | circle | clockwise | open,顺时针开口圆箭头,CLDR release-46 annotations
↼,leftwards harpoon barb upwards,倒钩在上的向左鱼叉,barb | harpoon | leftwards | upwards,倒钩在上的向左鱼叉,CLDR release-46 annotations
↽,leftwards harpoon barb downwards,倒钩在下的向左鱼叉,barb | downwards | harpoon | leftwards,倒钩在下的向左鱼叉,CLDR release-46 annotations
↾,upwards harpoon barb rightwards,倒钩在右的向上鱼叉,barb | harpoon | rightwards | upwards,倒钩在右的向上鱼叉,CLDR release-46 annotations
↿,upwards harpoon barb leftwards,倒钩在左的向上鱼叉,barb | harpoon | leftwards | upwards,倒钩在左的向上鱼叉,CLDR release-46 annotations
⇀,rightwards harpoon barb upwards,倒钩在上的向右鱼叉,barb | harpoon | rightwards | upwards,倒钩在上的向右鱼叉,CLDR release-46 annotations
⇁,rightwards harpoon barb downwards,倒钩在下的向右鱼叉,barb | downwards | harpoon | rightwards,倒钩在下的向右鱼叉,CLDR release-46 annotations
⇂,downwards harpoon barb rightwards,倒钩在右的向下鱼叉,barb | downwards | harpoon | rightwards,倒钩在右的向下鱼叉,CLDR release-46 annotations
⇃,downwards harpoon barb leftwards,倒钩在左的向下鱼叉,barb | downwards | harpoon | leftwards,倒钩在左的向下鱼叉,CLDR release-46 annotations
⇄,rightwards arrow over leftwards arrow,上面是向右箭头，下面是向左箭头,arrow | leftwards | over | rightwards,上面是向右箭头，下面是向左箭头,CLDR release-46 annotations
⇅,up-pointing and down-pointing arrows,左上右下两个箭头,and | arrow | arrows | down | down-pointing | up | up-pointing,上 | 下 | 左上右下两个箭头 | 箭头,CLDR release-46 annotations
⇆,left-pointing over right-pointing arrows,上左下右两个箭头,arrow | arrows | left | left-pointing | over | right | right-pointing,上左下右两个箭头 | 右 | 左 | 箭头,CLDR release-46 annotations
⇇,leftwards paired arrows,两个向左箭头,arrows | leftwards | paired,两个向左箭头,CLDR release-46 annotations
⇈,upwards paired arrows,两个向上箭头,arrows | paired | upwards,两个向上箭头,CLDR release-46 annotations
⇉,rightwards paired arrows,两个向右箭头,arrows | paired | rightwards,两个向右箭头,CLDR release-46 annotations
⇊,downwards paired arrows,两个向下箭头,arrows | downwards | paired,两个向下箭头,CLDR release-46 annotations
⇋,leftwards harpoon over rightwards harpoon,上面是向左鱼叉，下面是向右鱼叉,harpoon | leftwards | over | rightwards,上面是向左鱼叉，下面是向右鱼叉,CLDR release-46 annotations
⇌,rightwards harpoon over leftwards harpoon,上面是向右鱼叉，下面是向左鱼叉,harpoon | leftwards | over | rightwards,上面是向右鱼叉，下面是向左鱼叉,CLDR release-46 annotations
⇍,leftwards double arrow stroke,带删除线的向左双箭头,arrow | double | leftwards | stroke,带删除线的向左双箭头,CLDR release-46 annotations
⇎,left right double arrow stroke,带删除线的左右双箭头,arrow | double | left | right | stroke,带删除线的左右双箭头,CLDR release-46 annotations
⇏,rightwards double arrow stroke,带删除线的向右双箭头,arrow | double | rightwards | stroke,带删除线的向右双箭头,CLDR release-46 annotations
⇐,leftwards double arrow,向左双箭头,arrow | double | leftwards,向左双箭头,CLDR release-46 annotations
⇑,upwards double arrow,向上双箭头,arrow | double | upwards,向上双箭头,CLDR release-46 annotations
⇒,rightwards double arrow,向右双箭头,arrow | double | rightwards,向右双箭头,CLDR release-46 annotations
⇓,downwards double arrow,向下双箭头,arrow | double | downwards,向下双箭头,CLDR release-46 annotations
⇔,left right double arrow,左右双箭头,arrow | double | left | right,左右双箭头,CLDR release-46 annotations
⇖,north west double arrow,西北双箭头,arrow | double | north | west,西北双箭头,CLDR release-46 annotations
⇗,north east double arrow,东北双箭头,arrow | double | east | north,东北双箭头,CLDR release-46 annotations
⇘,south east double arrow,东南双箭头,arrow | double | east | south,东南双箭头,CLDR release-46 annotations
⇙,south west double arrow,西南双箭头,arrow | double | south | west,西南双箭头,CLDR release-46 annotations
⇚,leftwards triple arrow,向左三箭头,arrow | leftwards | triple,向左三箭头,CLDR release-46 annotations
⇛,rightwards triple arrow,向右三箭头,arrow | rightwards | triple,向右三箭头,CLDR release-46 annotations
⇜,leftwards squiggle arrow,向左曲线箭头,arrow | leftwards | squiggle,向左曲线箭头,CLDR release-46 annotations
⇝,rightwards squiggle arrow,向右曲线箭头,arrow | rightwards | squiggle,向右曲线箭头,CLDR release-46 annotations
⇞,upwards arrow double stroke,带双删除线的向上箭头,arrow | double | stroke | upwards,带双删除线的向上箭头,CLDR release-46 annotations
⇟,downwards arrow double stroke,带双删除线的向下箭头,arrow | double | downwards | stroke,带双删除线的向下箭头,CLDR release-46 annotations
⇠,leftwards dashed arrow,向左虚线箭头,arrow | dashed | leftwards,向左虚线箭头,CLDR release-46 annotations
⇡,upwards dashed arrow,向上虚线箭头,arrow | dashed | upwards,向上虚线箭头,CLDR release-46 annotations
⇢,rightwards dashed arrow,向右虚线箭头,arrow | dashed | rightwards,向右虚线箭头,CLDR release-46 annotations
⇣,downwards dashed arrow,向下虚线箭头,arrow | dashed | downwards,向下虚线箭头,CLDR release-46 annotations
⇤,leftwards arrow bar,头带杠的向左箭头,arrow | bar | leftwards,头带杠的向左箭头,CLDR release-46 annotations
⇥,rightwards arrow bar,头带杠的向右箭头,arrow | bar | rightwards,头带杠的向右箭头,CLDR release-46 annotations
⇦,leftwards hollow arrow,向左空心箭头,arrow | hollow | leftwards,向左空心箭头,CLDR release-46 annotations
⇧,upwards hollow arrow,向上空心箭头,arrow | hollow | upwards,向上空心箭头,CLDR release-46 annotations
⇨,rightwards hollow arrow,向右空心箭头,arrow | hollow | rightwards,向右空心箭头,CLDR release-46 annotations
⇩,downwards hollow arrow,向下空心箭头,arrow | downwards | hollow,向下空心箭头,CLDR release-46 annotations
⇪,upwards hollow arrow from bar,尾部带杠的向上空心箭头,arrow | bar | from | hollow | upwards,尾部带杠的向上空心箭头,CLDR release-46 annotations
⇵,downwards arrow leftwards upwards arrow,左边是向下箭头，右边是向上箭头,arrow | downwards | leftwards | upwards,左边是向下箭头，右边是向上箭头,CLDR release-46 annotations
∀,for all,全称量词,all | any | for | given | universal,全称量词,CLDR release-46 annotations
∂,partial differential,偏微分,differential | partial,偏微分,CLDR release-46 annotations
∃,there exists,存在量词,exists | there,存在量词,CLDR release-46 annotations
∅,empty set,空集,empty | mathematics | operator | set,空集,CLDR release-46 annotations
∆,increment,增量,increment | triangle,三角 | 增量,CLDR release-46 annotations
∇,nabla,向量微分,nabla | triangle,倒三角 | 向量微分,CLDR release-46 annotations
∈,element of,是...的元素,contains | element | membership | of | set,元素 | 包含 | 成员 | 是...的元素 | 集合,CLDR release-46 annotations
∉,not an element,不属于,an | element | not,不属于,CLDR release-46 annotations
∋,contains as member,包含为成员,as | contains | element | member,包含为成员,CLDR release-46 annotations
∎,end proof,证明完毕,end | halmos | proof | q.e.d. | qed | tombstone,证明完毕,CLDR release-46 annotations
∏,n-ary product,N元乘积,logic | n-ary | product,N元乘积,CLDR release-46 annotations
∑,n-ary summation,N元求和,mathematics | n-ary | summation,N元求和,CLDR release-46 annotations
−,minus sign,减号,minus | sign | subtract,减 | 减去 | 减号,CLDR release-46 annotations
∓,minus-or-plus,减或加,minus-or-plus | plus-minus,减或加,CLDR release-46 annotations
∕,division slash,除号斜线,division | slash | stroke | virgule,除号斜线,CLDR release-46 annotations
∗,asterisk operator,星号运算符,asterisk | operator | star,星号运算符,CLDR release-46 annotations
∘,ring operator,环运算符,composition | operator | ring,环运算符,CLDR release-46 annotations
∙,bullet operator,项目符号运算符,bullet | operator,项目符号运算符,CLDR release-46 annotations
√,square root,平方根,radical | radix | root | square | surd,不尽根 | 平方根 | 开平方 | 开根 | 根号,CLDR release-46 annotations
∝,proportional,成比例,proportional | proportionality,成比例,CLDR release-46 annotations
∞,infinity sign,无穷大符号,infinity | sign,无穷大 | 无穷大符号,CLDR release-46 annotations
∟,right angle,直角,angle | mathematics | right,直角,CLDR release-46 annotations
∠,angle,角,acute | angle,角,CLDR release-46 annotations
∣,divides,整除,divides | divisor,整除,CLDR release-46 annotations
∥,parallel,平行,parallel,平行,CLDR release-46 annotations
∧,logical and,逻辑与,ac | and | atque | logical | wedge,逻辑与,CLDR release-46 annotations
∩,intersection,交集,intersection | set,交集 | 集 | 集合,CLDR release-46 annotations
∪,union,并集,collection | set | union,并集 | 集 | 集合,CLDR release-46 annotations
∫,integral,积分,calculus | integral,积分,CLDR release-46 annotations
∬,double integral,二重积分,calculus | double | integral,二重积分,CLDR release-46 annotations
∮,contour integral,曲线积分,contour | integral,曲线积分,CLDR release-46 annotations
∴,therefore,所以,logic | therefore,所以,CLDR release-46 annotations
∵,because,因为,because | logic,因为,CLDR release-46 annotations
∶,ratio,比率,ratio,比率,CLDR release-46 annotations
∷,proportion,比例,proportion | proportionality,比例,CLDR release-46 annotations
∼,tilde operator,波浪号运算符,operator | tilde,波浪号运算符,CLDR release-46 annotations
∽,reversed tilde,反转波浪号,reversed | tilde,反转波浪号,CLDR release-46 annotations
∾,inverted lazy s,倒置躺倒s,inverted | lazy | s,倒置躺倒s,CLDR release-46 annotations
≃,asymptotically equal,渐近相等,asymptote | asymptotically | equal | mathematics,渐近相等,CLDR release-46 annotations
≅,approximately equal,近似相等,approximately | congruence | equal | equality | isomorphism | mathematics,近似相等,CLDR release-46 annotations
≈,almost equal,约等于,almost | approximate | approximation | equal,大概 | 约等于 | 近似值,CLDR release-46 annotations
≌,all equal,全等,all | equal | equality | mathematics,全等,CLDR release-46 annotations
≒,approximately equal the image,约等于或近似于,approximately | equal | image | the,约等于或近似于,CLDR release-46 annotations
≖,ring in equal,环等于,equal | equality | in | mathematics | ring,环等于,CLDR release-46 annotations
≠,not equal,不等于,equal | inequality | inequation | not,不相等 | 不等 | 不等于,CLDR release-46 annotations
≡,identical to,等同于,exact | identical | to | triple,三线 | 相同 | 等于 | 等同 | 等同于,CLDR release-46 annotations
≣,strictly equivalent,严格等价于,equality | equivalent | mathematics | strictly,严格等价于,CLDR release-46 annotations
≤,less-than or equal,小于等于,equal | equals | inequality | less-than | or,不等式 | 小于 | 小于等于 | 相等 | 等于,CLDR release-46 annotations
≥,greater-than or equal,大于等于,equal | equals | greater-than | inequality | or,不等 | 大于 | 大于等于 | 相等 | 等于,CLDR release-46 annotations
≦,less-than over equal,小于或等于,equal | inequality | less-than | mathematics | over,小于或等于,CLDR release-46 annotations
≧,greater-than over equal,大于或等于,equal | greater-than | inequality | mathematics | over,大于或等于,CLDR release-46 annotations
≪,much less-than,远小于,inequality | less-than | mathematics | much,远小于,CLDR release-46 annotations
≫,much greater-than,远大于,greater-than | inequality | mathematics | much,远大于,CLDR release-46 annotations
≬,between,介于,between,介于,CLDR release-46 annotations
≮,not less-than,不小于,inequality | less-than | mathematics | not,不小于,CLDR release-46 annotations
≯,not greater-than,不大于,greater-than | inequality | mathematics | not,不大于,CLDR release-46 annotations
≳,greater-than equivalent,大于或等价于,equivalent | greater-than | inequality | mathematics,大于或等价于,CLDR release-46 annotations
≺,precedes,先于,mathematics | operator | precedes | set,先于,CLDR release-46 annotations
